счастливое число;7
внучка деда мороза;снегурочка
лучший друг винни пуха;пятачок
день зимнего солнцестояния;двадцатьпервоедекабря
в каком стиле написан черный квадрат малевича;супрематизм
самая яркая звезда на небосводе;сириус
кротчайший путь между двумя точками;прямая
зимой и летом одним цветом;доллар
первооткрыватель америки;христофор колумб 
древнеегипетская богиня радости веселья и любви;бастет
современное название константинополя;стамбул
славянский бог весны, солнца, любви и плодородия;ярило
автор картины «Лунная ночь на Днепре»;куинджи
перевод на руссий язык название оперы пуччини чио-чио-сан;бабочка
корень квадратный из девяти;3
автор фильма звезда пленительного счастья;мотыль
распространённое название личинок комаров;мотыль
гармон счастья;эндорфин
лучшие друзья девушек;бриллианты
старорусское название рубинов и сапфиров;яхонт
